City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,nuuk,64.1835,-51.7216,-9.66,52,100,12.35,GL,1706663145
170,anadyr,64.75,177.4833,-28.72,76,0,3.0,RU,1706662889
171,portland,45.5234,-122.6762,14.56,74,75,5.36,US,1706662685
172,balabac,7.9868,117.0645,27.46,76,83,5.82,PH,1706663145
173,naze,28.3667,129.4833,18.51,77,95,8.08,JP,1706662991
174,avarua,-21.2078,-159.775,29.03,70,75,2.57,CK,1706663146
175,yeed,4.55,43.0333,24.88,55,27,5.78,SO,1706663146
176,nyurba,63.2842,118.3319,-26.6,98,100,1.46,RU,1706663146
177,howard springs,-12.497,131.047,31.01,86,99,3.56,AU,1706663146
178,tandalti,13.0167,31.8667,17.57,18,94,6.24,SD,1706663146
179,east london,-33.0153,27.9116,22.06,85,100,5.03,ZA,1706663146
180,lagunas,-5.2269,-75.6753,26.6,80,100,1.45,PE,1706663146
181,okhotsk,59.3833,143.3,-20.19,79,71,4.89,RU,1706663147
182,arti,56.4234,58.5328,-11.1,98,100,0.86,RU,1706663147
183,patterson,37.4716,-121.1297,21.1,76,63,2.58,US,1706662989
184,dudinka,69.4058,86.1778,-16.88,84,100,9.39,RU,1706663147
185,george town,5.4112,100.3354,27.19,79,20,3.09,MY,1706662575
186,loen,7.7601,168.2307,25.66,91,100,9.05,MH,1706663147
187,sorong,-0.8833,131.25,28.17,77,17,0.8,ID,1706663147
188,sen monorom,12.45,107.2,21.95,68,12,0.21,KH,1706663148
189,chamical,-30.36,-66.314,31.01,26,18,6.03,AR,1706663148
190,yerofey pavlovich,53.9667,121.9667,-24.1,89,99,1.25,RU,1706663148
191,gadzhiyevo,69.2551,33.3362,2.27,78,100,13.38,RU,1706663148
192,utrik,11.2278,169.8474,26.14,75,100,8.02,MH,1706663148
193,jinhua,29.1078,119.6547,14.71,85,7,0.59,CN,1706663148
194,coahuayana de hidalgo,18.7,-103.6583,24.65,85,100,0.75,MX,1706663148
195,pangody,65.85,74.4859,-21.8,95,28,6.44,RU,1706663009
196,port mathurin,-19.6833,63.4167,27.51,80,100,8.81,MU,1706662865
197,la'ie,21.6477,-157.9253,26.98,73,25,1.79,US,1706663149
198,greymouth,-42.4667,171.2,19.48,71,37,4.07,NZ,1706663149
199,lazaro cardenas,17.9583,-102.2,25.57,73,100,1.2,MX,1706662922
200,westport,41.1415,-73.3579,2.02,72,100,4.12,US,1706663132
201,magnitogorsk,53.4186,59.0472,-8.54,92,100,3.0,RU,1706663149
202,santana,-0.0583,-51.1817,27.1,89,0,2.57,BR,1706662973
203,akureyri,65.6835,-18.0878,-3.04,68,75,5.66,IS,1706663149
204,alto araguaia,-17.3147,-53.2153,24.23,61,100,1.26,BR,1706663150
205,tyukhtet,56.5389,89.3011,-22.8,99,54,2.12,RU,1706663150
206,kamaishi,39.2667,141.8833,7.06,61,100,4.11,JP,1706663150
207,mitsamiouli,-11.3847,43.2844,27.08,70,100,0.68,KM,1706663150
208,touros,-5.1989,-35.4608,27.39,74,3,5.5,BR,1706663150
209,ghormach,35.7306,63.7826,2.07,82,34,3.18,AF,1706663150
210,sitka,57.0531,-135.33,2.94,60,100,4.63,US,1706663150
211,san andres,12.5847,-81.7006,27.01,83,40,3.09,CO,1706663150
212,lata,40.1629,-8.3327,8.93,77,100,1.84,PT,1706663151
213,piritiba,-11.7303,-40.5553,21.93,78,0,0.45,BR,1706663151
214,bamboo flat,11.7,92.7167,26.05,89,40,1.03,IN,1706663151
215,kavieng,-2.5744,150.7967,28.85,76,100,3.61,PG,1706663151
216,flying fish cove,-10.4217,105.6791,25.82,100,100,2.57,CX,1706663151
217,chojna,52.9639,14.428,8.56,91,100,5.92,PL,1706663151
218,zavitinsk,50.1167,129.45,-28.08,100,100,2.18,RU,1706663151
219,pyinmana,19.7333,96.2167,17.54,50,28,0.7,MM,1706663152
220,mil'kovo,55.6078,37.7956,-0.73,99,98,1.53,RU,1706663152
221,sangod,24.9167,76.2833,16.7,45,100,1.18,IN,1706663152
