City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,jerada,34.31,-2.16,12.29,35,100,0.64,MA,1706555674
153,el calafate,-50.3408,-72.2768,15.13,62,50,5.5,AR,1706555674
154,constantia,44.1833,28.65,2.61,76,100,9.32,RO,1706555670
155,ammapettai,10.8,79.3333,21.4,84,9,2.92,IN,1706555674
156,petropavlovsk-kamchatsky,53.0452,158.6483,-15.3,93,0,5.0,RU,1706555674
157,pulaski,34.7668,-92.3001,16.06,43,0,0.45,US,1706555674
158,punta arenas,-53.15,-70.9167,16.06,39,0,8.75,CL,1706555420
159,belmonte,-15.8631,-38.8828,28.59,71,100,4.29,BR,1706555675
160,general pico,-35.6566,-63.7568,39.89,15,0,1.24,AR,1706555675
161,sona,45.4388,10.8255,5.52,100,20,1.03,IT,1706555675
162,tughyl,47.7252,84.2063,-19.41,95,63,0.28,KZ,1706555675
163,adoni,15.6333,77.2833,21.85,50,99,3.98,IN,1706555675
164,buta,2.7858,24.73,25.65,43,100,1.21,CD,1706555675
165,new norfolk,-42.7826,147.0587,9.84,97,6,1.45,AU,1706555670
166,fort bragg,35.139,-79.006,15.08,41,0,5.66,US,1706555676
167,kununurra,-15.7667,128.7333,26.99,89,69,0.0,AU,1706555390
168,yigo village,13.5361,144.8886,24.3,76,20,8.23,GU,1706555676
169,papatowai,-46.5619,169.4708,14.09,74,100,2.12,NZ,1706555648
170,afaahiti,-17.75,-149.2833,28.93,78,100,1.52,PF,1706555676
171,kodiak,57.79,-152.4072,-13.27,66,0,5.14,US,1706555676
172,tralee,52.2704,-9.7026,3.94,78,7,2.79,IE,1706555676
173,midvagur,62.0511,-7.1939,8.46,76,75,7.2,FO,1706555676
174,mata-utu,-13.2816,-176.1745,29.47,80,81,7.27,WF,1706555676
175,kapuskasing,49.4169,-82.4331,0.0,86,100,5.14,CA,1706555677
176,haiku-pauwela,20.9219,-156.3051,26.13,75,40,9.26,US,1706555677
177,az zulfi,26.2995,44.8154,18.97,46,89,0.34,SA,1706555677
178,hithadhoo,-0.6,73.0833,27.98,74,12,3.02,MV,1706555677
179,puerto deseado,-47.7503,-65.8938,20.34,43,8,6.25,AR,1706555677
180,selfoss,63.9331,-20.9971,1.14,90,100,12.81,IS,1706555678
181,tromso,69.6496,18.957,3.01,56,75,16.46,NO,1706555678
182,khovd,48.0056,91.6419,-21.71,92,27,0.5,MN,1706555678
183,st. john's,47.5649,-52.7093,-1.68,94,100,3.6,CA,1706555562
184,paka,4.6374,103.4368,24.44,89,80,2.65,MY,1706555678
185,naze,28.3667,129.4833,8.51,65,41,2.45,JP,1706555678
186,iowa park,33.9515,-98.6687,18.3,49,0,2.06,US,1706555530
187,kushtia,23.9011,89.1221,15.94,41,0,2.26,BD,1706555679
188,dauphin,51.1494,-100.0502,2.08,75,0,5.14,CA,1706555679
189,mamou,10.5,-12.0,26.1,17,81,1.43,GN,1706555679
190,sukuta,13.4103,-16.7082,31.01,23,100,0.0,GM,1706555679
191,abepura,-2.6333,140.5833,23.45,100,20,1.03,ID,1706555679
192,el matama,16.7095,33.3565,21.43,15,97,5.83,SD,1706555679
193,zhigalovo,54.8097,105.1578,-39.04,100,88,0.57,RU,1706555679
194,cabo san lucas,22.8909,-109.9124,29.78,60,75,5.14,MX,1706555122
195,utrik,11.2278,169.8474,26.02,69,100,5.02,MH,1706555680
196,lata,40.1629,-8.3327,16.01,76,97,2.05,PT,1706555680
197,saipan,15.1355,145.701,24.39,73,75,5.66,MP,1706555680
198,huarmey,-10.0681,-78.1522,27.09,71,100,5.84,PE,1706555680
199,gadzhiyevo,69.2551,33.3362,0.99,66,100,15.98,RU,1706555680
200,dubbo,-32.25,148.6167,22.07,94,0,2.57,AU,1706555660
201,yeppoon,-23.1333,150.7333,27.88,89,100,2.39,AU,1706555680
202,reggane,26.7158,0.1714,20.62,16,0,6.08,DZ,1706555680
203,talnakh,69.4865,88.3972,-16.55,92,100,4.07,RU,1706555681
204,lesnoy,57.6198,63.0784,-18.72,99,78,1.71,RU,1706555681
205,mont-dore,-22.2833,166.5833,20.99,82,46,0.63,NC,1706555681
206,cururupu,-1.8283,-44.8683,29.49,66,100,2.96,BR,1706555479
207,eydhafushi,5.1033,73.0708,27.41,72,55,5.84,MV,1706555681
208,pamandzi,-12.7967,45.2794,27.88,78,0,3.09,YT,1706555681
209,elliot lake,46.3834,-82.6331,0.46,83,100,2.78,CA,1706555681
210,la sarre,48.8002,-79.1996,-3.2,91,100,3.12,CA,1706555417
211,fale old settlement,-9.3852,-171.2468,29.14,71,86,1.74,TK,1706555682
212,alaghsas,17.0187,8.0168,20.13,17,6,7.14,NE,1706555682
213,alice springs,-23.7,133.8833,27.9,13,100,0.45,AU,1706555682
214,boda,4.3189,17.4695,26.44,22,17,1.05,CF,1706555682
215,micheweni,-4.9667,39.8333,27.67,78,100,5.08,TZ,1706555682
216,altagracia de orituco,9.8601,-66.3814,33.85,27,4,2.29,VE,1706555682
217,ancud,-41.8697,-73.8203,16.91,58,95,2.23,CL,1706555682
218,saudarkrokur,65.7461,-19.6394,1.34,91,100,4.27,IS,1706555682
219,atherton,53.5237,-2.4935,11.83,96,100,0.89,GB,1706555683
220,anloga,5.7947,0.8973,27.77,72,4,4.91,GH,1706555683
221,puerto leguizamo,-0.1934,-74.7819,36.45,33,100,1.29,CO,1706555683
222,novodvinsk,64.4165,40.8122,1.86,92,100,5.44,RU,1706555683
223,pikeville,37.4793,-82.5188,6.36,82,100,2.06,US,1706555469
224,tomatlan,19.9333,-105.25,31.3,30,100,2.0,MX,1706555683
225,suileng,47.25,127.0833,-31.33,100,96,1.07,CN,1706555684
226,wailua homesteads,22.0669,-159.378,23.44,89,40,7.2,US,1706555684
227,mel'nikovo,56.5558,84.085,-22.56,98,87,2.21,RU,1706555684
228,igarka,67.4667,86.5833,-22.5,86,93,4.14,RU,1706555684
229,fyzabad,26.7833,82.1333,12.21,50,0,2.11,IN,1706555684
230,flin flon,54.7682,-101.865,3.91,75,75,3.6,CA,1706555596
231,santa cruz,-17.8,-63.1667,30.7,58,75,6.69,BO,1706555682
232,papao,-17.75,-149.55,29.82,79,100,2.04,PF,1706555684
233,argo,37.6333,22.7333,8.21,83,90,3.2,GR,1706555685
234,nemuro,43.3236,145.575,-0.78,84,13,2.88,JP,1706555685
235,porto novo,6.4965,2.6036,28.9,70,2,3.09,BJ,1706555685
236,mariehamn,60.0973,19.9348,2.68,100,0,1.03,AX,1706555685
